PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
332,1,1,45.5,0,0,28.5,0,0
734,2,1,23.0,0,0,13.0,0,0
383,3,1,32.0,0,0,7.925,0,0
705,3,1,26.0,1,0,7.8542,0,0
814,3,0,6.0,4,2,31.275,0,0
119,1,1,24.0,0,1,247.5208,1,0
537,1,1,45.0,0,0,26.55,0,0
362,2,1,29.0,1,0,27.7208,1,0
30,3,1,28.0,0,0,7.8958,0,0
56,1,1,28.0,0,0,35.5,0,1
866,2,0,42.0,0,0,13.0,0,1
596,3,1,36.0,1,1,24.15,0,0
240,2,1,33.0,0,0,12.275,0,0
722,3,1,17.0,1,0,7.0542,0,0
82,3,1,29.0,0,0,9.5,0,1
260,2,0,50.0,0,1,26.0,0,1
487,1,0,35.0,1,0,90.0,0,1
717,1,0,38.0,0,0,227.525,1,1
801,2,1,34.0,0,0,13.0,0,0
782,1,0,17.0,1,0,57.0,0,1
543,3,0,11.0,4,2,31.275,0,0
327,3,1,61.0,0,0,6.2375,0,0
535,3,0,30.0,0,0,8.6625,0,0
536,2,0,7.0,0,2,26.25,0,1
484,3,0,63.0,0,0,9.5875,0,1
763,3,1,20.0,0,0,7.2292,1,1
534,3,0,28.0,0,2,22.3583,1,1
714,3,1,29.0,0,0,9.4833,0,0
391,1,1,36.0,1,2,120.0,0,1
496,3,1,28.0,0,0,14.4583,1,0
483,3,1,50.0,0,0,8.05,0,0
378,1,1,27.0,0,2,211.5,1,0
366,3,1,30.0,0,0,7.25,0,0
413,1,0,33.0,1,0,90.0,2,1
469,3,1,28.0,0,0,7.725,2,0
410,3,0,28.0,3,1,25.4667,0,0
8,3,1,2.0,3,1,21.075,0,0
581,2,0,25.0,1,1,30.0,0,1
156,1,1,51.0,0,1,61.3792,1,0
881,2,0,25.0,0,1,26.0,0,1
426,3,1,28.0,0,0,7.25,0,0
102,3,1,28.0,0,0,7.8958,0,0
200,2,0,24.0,0,0,13.0,0,0
425,3,1,18.0,1,1,20.2125,0,0
299,1,1,28.0,0,0,30.5,0,1
